comparison,metric,seed_means_A,seed_means_B,seed_mean_diff,n_same_direction,seed_mean_of_diff,seed_sd_of_diff,seed_wilcoxon_p,scenario_n_pairs,scenario_mean_diff,scenario_wilcoxon_p,scenario_cliffs_delta
GA-guided-PSO-only,n_intervals_100,"[307.8381, 311.4137, 308.5852, 323.6496, 309.9022]","[257.6063, 257.6185, 257.5348, 257.6041, 257.5696]","[50.2319, 53.7952, 51.0504, 66.0456, 52.3326]",5,54.691111111111105,6.489003925709538,0.0625,13500,54.69111111111111,0.0,0.20122525651577505
GA-guided-PSO-only,n_intervals_170,"[19.9333, 18.1011, 19.5456, 18.6822, 17.5519]","[45.1385, 45.137, 45.1774, 45.1559, 45.1407]","[-25.2052, -27.0359, -25.6319, -26.4737, -27.5889]",5,-26.387111111111107,0.9798079162836307,0.0625,13500,-26.38711111111111,0.0,-0.6939882578875172
GA-guided-PSO-only,U,"[53.3945, 53.4665, 53.4082, 55.5327, 53.0844]","[52.2409, 52.2424, 52.2401, 52.2452, 52.2358]","[1.1536, 1.2241, 1.1682, 3.2875, 0.8487]",5,1.5364097222222222,0.989841906860229,0.0625,13500,1.5364097222222222,0.0,0.03714149245541831
GA-guided-PSO-only,n_dryrun_proxy,"[3.8307, 3.1648, 2.7381, 12.6411, 1.9878]","[0.3348, 0.34, 0.3337, 0.3389, 0.3322]","[3.4959, 2.8248, 2.4044, 12.3022, 1.6556]",5,4.5365925925925925,4.392169280396001,0.0625,13500,4.5365925925925925,0.0,0.5553955061728395
PSO-guided-GA-only,max_level_m,"[6.4603, 6.2027, 6.2393, 6.0803, 6.0414]","[6.3377, 6.3377, 6.3377, 6.3377, 6.3377]","[0.1226, -0.135, -0.0985, -0.2574, -0.2964]",4,-0.13293312548506314,0.164829252568647,0.1875,13500,-0.13293312548506314,0.0,-0.44440954732510285
PSO-guided-GA-only,n_switches,"[27.95, 39.8656, 34.6033, 25.7907, 34.5063]","[72.0659, 72.0659, 72.0659, 72.0659, 72.0659]","[-44.1159, -32.2004, -37.4626, -46.2752, -37.5596]",5,-39.522740740740744,5.6658622377462855,0.0625,13500,-39.522740740740744,0.0,-0.36511569272976685
PSO-guided-GA-only,n_intervals_100,"[310.2885, 304.9, 311.8037, 304.5207, 306.6767]","[257.6281, 257.6281, 257.6281, 257.6281, 257.6281]","[52.6604, 47.2719, 54.1756, 46.8926, 49.0485]",5,50.00977777777778,3.2602318477311125,0.0625,13500,50.00977777777778,0.0,0.19010032921810693
PSO-guided-GA-only,n_intervals_170,"[18.3874, 19.7496, 17.3078, 20.4, 20.8148]","[45.1237, 45.1237, 45.1237, 45.1237, 45.1237]","[-26.7363, -25.3741, -27.8159, -24.7237, -24.3089]",5,-25.79177777777778,1.4580388391657388,0.0625,13500,-25.791777777777778,0.0,-0.678718792866941
PSO-guided-GA-only,U,"[53.3667, 52.8866, 53.3167, 53.0001, 53.4472]","[52.2404, 52.2404, 52.2404, 52.2404, 52.2404]","[1.1264, 0.6462, 1.0763, 0.7597, 1.2068]",5,0.9630868055555556,0.2452611163235124,0.0625,13500,0.9630868055555556,0.0,0.027358299039780487
PSO-guided-GA-only,n_dryrun_proxy,"[2.5711, 2.2344, 2.8819, 0.2633, 2.8359]","[0.3315, 0.3315, 0.3315, 0.3315, 0.3315]","[2.2396, 1.903, 2.5504, -0.0681, 2.5044]",4,1.8258518518518518,1.0897028451873143,0.125,13500,1.8258518518518518,0.0,0.3238869410150891
PSO-guided-PSO-only,max_level_m,"[6.4603, 6.2027, 6.2393, 6.0803, 6.0414]","[6.3377, 6.3377, 6.3377, 6.3377, 6.3377]","[0.1226, -0.135, -0.0984, -0.2574, -0.2963]",4,-0.13291143505997427,0.16482391948092903,0.1875,13500,-0.13291143505997424,0.0,-0.4443751001371742
PSO-guided-PSO-only,n_switches,"[27.95, 39.8656, 34.6033, 25.7907, 34.5063]","[72.1541, 72.1541, 72.2526, 72.2363, 72.1619]","[-44.2041, -32.2885, -37.6493, -46.4456, -37.6556]",5,-39.64859259259259,5.680918451990125,0.0625,13500,-39.64859259259259,0.0,-0.36600252400548694
PSO-guided-PSO-only,n_intervals_100,"[310.2885, 304.9, 311.8037, 304.5207, 306.6767]","[257.6063, 257.6185, 257.5348, 257.6041, 257.5696]","[52.6822, 47.2815, 54.2689, 46.9167, 49.107]",5,50.051259259259254,3.282501373570119,0.0625,13500,50.05125925925926,0.0,0.19025683401920435
PSO-guided-PSO-only,n_intervals_170,"[18.3874, 19.7496, 17.3078, 20.4, 20.8148]","[45.1385, 45.137, 45.1774, 45.1559, 45.1407]","[-26.7511, -25.3874, -27.8696, -24.7559, -24.3259]",5,-25.818,1.4679557933562863,0.0625,13500,-25.818,0.0,-0.6790908861454046
PSO-guided-PSO-only,U,"[53.3667, 52.8866, 53.3167, 53.0001, 53.4472]","[52.2409, 52.2424, 52.2401, 52.2452, 52.2358]","[1.1258, 0.6442, 1.0766, 0.7549, 1.2114]",5,0.9626030092592593,0.2480194476839502,0.0625,13500,0.9626030092592592,0.0,0.027350759945130365
PSO-guided-PSO-only,n_dryrun_proxy,"[2.5711, 2.2344, 2.8819, 0.2633, 2.8359]","[0.3348, 0.34, 0.3337, 0.3389, 0.3322]","[2.2363, 1.8944, 2.5481, -0.0756, 2.5037]",4,1.8214074074074074,1.0919725296393534,0.125,13500,1.8214074074074074,0.0,0.322154304526749
