duration_int,return_period_int,model,n_seeds,n_intervals_100_mean,n_intervals_100_std,n_intervals_100_ci95_half
1080,100,GA-guided(4-criterion),5,564.016,3.7779,4.6908
1080,100,Regular(2-criterion),5,1621.972,68.8438,85.4809
1440,10,GA-guided(4-criterion),5,414.688,53.1833,66.0358
1440,10,Regular(2-criterion),5,2089.344,157.7995,195.934
1440,20,GA-guided(4-criterion),5,474.224,50.6289,62.8641
1440,20,Regular(2-criterion),5,2110.284,155.1659,192.6639
1440,30,GA-guided(4-criterion),5,508.324,44.2513,54.9453
1440,30,Regular(2-criterion),5,2113.668,136.451,169.4263
1440,50,GA-guided(4-criterion),5,554.908,56.6937,70.3946
1440,50,Regular(2-criterion),5,2127.68,114.4003,142.0468
1440,80,GA-guided(4-criterion),5,585.76,33.9839,42.1966
1440,80,Regular(2-criterion),5,2133.792,104.8154,130.1455
1440,100,GA-guided(4-criterion),5,606.072,30.8523,38.3081
1440,100,Regular(2-criterion),5,2131.176,99.7057,123.801
