duration_int,return_period_int,model,n_intervals_170_mean,n_intervals_170_std,n_intervals_170_ci95_half
720,100,Regular,10.012,3.0743,3.8172
1080,10,GA-guided,0.26,0.4276,0.5309
1080,10,GA-only,50.3,0.0,0.0
1080,10,PSO-guided,0.052,0.0795,0.0987
1080,10,PSO-only,50.284,0.0555,0.0689
1080,10,Regular,2.64,3.6106,4.4832
1080,20,GA-guided,0.284,0.3895,0.4836
1080,20,GA-only,57.66,0.0,0.0
1080,20,PSO-guided,0.176,0.3825,0.4749
1080,20,PSO-only,57.632,0.1481,0.1838
1080,20,Regular,2.96,4.2777,5.3114
1080,30,GA-guided,0.284,0.3556,0.4416
1080,30,GA-only,59.42,0.0,0.0
1080,30,PSO-guided,0.028,0.0335,0.0416
1080,30,PSO-only,59.428,0.2335,0.2899
1080,30,Regular,2.608,3.3063,4.1053
1080,50,GA-guided,0.324,0.4504,0.5593
1080,50,GA-only,53.46,0.0,0.0
1080,50,PSO-guided,0.124,0.2229,0.2768
1080,50,PSO-only,53.504,0.1757,0.2182
1080,50,Regular,2.96,3.0349,3.7683
1080,80,GA-guided,0.196,0.2941,0.3651
1080,80,GA-only,55.46,0.0,0.0
1080,80,PSO-guided,0.5,1.063,1.3199
1080,80,PSO-only,55.504,0.2725,0.3384
1080,80,Regular,3.496,3.5094,4.3575
1080,100,GA-guided,0.12,0.1738,0.2158
1080,100,GA-only,56.58,0.0,0.0
1080,100,PSO-guided,0.512,1.079,1.3398
1080,100,PSO-only,56.496,0.1472,0.1828
1080,100,Regular,3.672,4.2189,5.2384
1440,10,GA-guided,0.456,0.567,0.704
1440,10,GA-only,53.32,0.0,0.0
1440,10,PSO-guided,0.168,0.2504,0.311
1440,10,PSO-only,53.576,0.2833,0.3518
1440,10,Regular,1.44,1.3142,1.6318
1440,20,GA-guided,0.384,0.5086,0.6315
1440,20,GA-only,63.56,0.0,0.0
1440,20,PSO-guided,0.116,0.191,0.2372
1440,20,PSO-only,63.68,0.0787,0.0978
1440,20,Regular,2.656,2.9763,3.6955
1440,30,GA-guided,0.348,0.4599,0.5711
1440,30,GA-only,61.78,0.0,0.0
1440,30,PSO-guided,0.104,0.159,0.1974
1440,30,PSO-only,62.08,0.2319,0.288
1440,30,Regular,3.504,4.8687,6.0453
1440,50,GA-guided,0.332,0.459,0.57
1440,50,GA-only,74.7,0.0,0.0
1440,50,PSO-guided,0.048,0.0867,0.1077
1440,50,PSO-only,74.62,0.1995,0.2477
1440,50,Regular,4.02,6.0455,7.5065
1440,80,GA-guided,0.3,0.4243,0.5268
1440,80,GA-only,79.82,0.0,0.0
1440,80,PSO-guided,0.02,0.0447,0.0555
1440,80,PSO-only,79.836,0.078,0.0968
1440,80,Regular,3.456,5.1046,6.3382
1440,100,GA-guided,0.296,0.4208,0.5225
1440,100,GA-only,80.4,0.0,0.0
1440,100,PSO-guided,0.108,0.2415,0.2999
1440,100,PSO-only,80.516,0.274,0.3402
1440,100,Regular,3.116,4.2145,5.2329
