duration_int,return_period_int,model,n_intervals_100_mean,n_intervals_100_std,n_intervals_100_ci95_half
240,20,GA-guided,222.016,3.198,3.9708
240,20,GA-only,199.36,0.0,0.0
240,20,PSO-guided,220.224,6.5427,8.1238
240,20,PSO-only,199.216,0.1452,0.1803
240,20,Regular,218.548,4.9173,6.1056
240,30,GA-guided,230.828,3.3589,4.1707
240,30,GA-only,208.48,0.0,0.0
240,30,PSO-guided,228.228,4.1756,5.1846
240,30,PSO-only,208.536,0.1043,0.1295
240,30,Regular,227.836,4.8283,5.9952
240,50,GA-guided,240.356,3.7082,4.6044
240,50,GA-only,218.2,0.0,0.0
240,50,PSO-guided,236.724,3.5155,4.3651
240,50,PSO-only,218.168,0.2033,0.2524
240,50,Regular,237.264,4.9079,6.0939
240,80,GA-guided,249.864,3.5062,4.3535
240,80,GA-only,226.54,0.0,0.0
240,80,PSO-guided,245.992,4.2099,5.2273
240,80,PSO-only,226.524,0.0329,0.0408
240,80,Regular,245.98,4.2123,5.2302
240,100,GA-guided,252.84,3.4078,4.2313
240,100,GA-only,228.78,0.0,0.0
240,100,PSO-guided,249.152,3.726,4.6264
240,100,PSO-only,228.752,0.0522,0.0648
240,100,Regular,249.824,3.6704,4.5574
360,10,GA-guided,264.448,1.9439,2.4137
360,10,GA-only,226.0,0.0,0.0
360,10,PSO-guided,261.084,6.2348,7.7415
360,10,PSO-only,225.976,0.0434,0.0538
360,10,Regular,259.812,5.9759,7.42
360,20,GA-guided,293.22,3.0279,3.7596
360,20,GA-only,260.26,0.0,0.0
360,20,PSO-guided,290.052,7.1659,8.8976
360,20,PSO-only,260.12,0.1378,0.1712
360,20,Regular,289.128,5.9315,7.3649
360,30,GA-guided,305.36,3.3599,4.1718
360,30,GA-only,273.7,0.0,0.0
360,30,PSO-guided,302.52,6.916,8.5874
360,30,PSO-only,273.684,0.1212,0.1504
360,30,Regular,302.272,5.8298,7.2386
360,50,GA-guided,319.628,3.7218,4.6213
360,50,GA-only,289.32,0.0,0.0
360,50,PSO-guided,316.632,7.4942,9.3053
360,50,PSO-only,289.284,0.0297,0.0368
360,50,Regular,315.352,6.6043,8.2003
360,80,GA-guided,330.492,3.7147,4.6124
360,80,GA-only,301.04,0.0,0.0
360,80,PSO-guided,327.288,5.3907,6.6935
360,80,PSO-only,301.028,0.0268,0.0333
360,80,Regular,326.316,5.8445,7.2569
360,100,GA-guided,337.232,3.7781,4.6911
360,100,GA-only,308.86,0.0,0.0
360,100,PSO-guided,334.604,4.9156,6.1035
360,100,PSO-only,308.804,0.1014,0.1259
360,100,Regular,333.824,5.7835,7.1812
540,10,GA-guided,315.04,1.8252,2.2663
540,10,GA-only,254.7,0.0,0.0
540,10,PSO-guided,315.212,4.6672,5.7951
540,10,PSO-only,254.632,0.3591,0.4458
540,10,Regular,313.468,8.4909,10.5428
540,20,GA-guided,366.432,1.5277,1.8969
540,20,GA-only,307.94,0.0,0.0
540,20,PSO-guided,364.064,5.6485,7.0135
540,20,PSO-only,307.776,0.2402,0.2982
540,20,Regular,362.708,8.1739,10.1493
540,30,GA-guided,389.948,1.6878,2.0956
540,30,GA-only,336.12,0.0,0.0
540,30,PSO-guided,387.344,8.6643,10.7581
540,30,PSO-only,336.168,0.1494,0.1855
540,30,Regular,386.712,7.9782,9.9062
540,50,GA-guided,413.94,2.3372,2.902
540,50,GA-only,367.14,0.0,0.0
540,50,PSO-guided,411.912,9.0559,11.2444
540,50,PSO-only,367.136,0.2304,0.2861
540,50,Regular,409.292,7.0986,8.8141
540,80,GA-guided,432.808,2.921,3.6269
540,80,GA-only,386.12,0.0,0.0
540,80,PSO-guided,430.068,8.2421,10.2339
540,80,PSO-only,386.12,0.1105,0.1371
540,80,Regular,428.264,6.8417,8.4951
540,100,GA-guided,442.68,2.6362,3.2733
540,100,GA-only,398.0,0.0,0.0
540,100,PSO-guided,440.02,7.4776,9.2847
540,100,PSO-only,397.876,0.3681,0.457
540,100,Regular,438.32,6.9458,8.6244
720,10,GA-guided,336.336,3.0147,3.7432
720,10,GA-only,266.4,0.0,0.0
720,10,PSO-guided,336.204,3.5137,4.3628
720,10,PSO-only,266.232,0.2138,0.2655
720,10,Regular,336.496,8.7009,10.8036
720,20,GA-guided,391.34,2.4372,3.0261
720,20,GA-only,315.72,0.0,0.0
720,20,PSO-guided,390.868,4.6164,5.732
720,20,PSO-only,315.712,0.3081,0.3825
720,20,Regular,390.18,8.2909,10.2945
720,30,GA-guided,421.408,1.663,2.0649
720,30,GA-only,342.96,0.0,0.0
720,30,PSO-guided,421.028,5.1105,6.3456
720,30,PSO-only,342.932,0.2862,0.3554
720,30,Regular,419.136,9.2878,11.5324
720,50,GA-guided,461.12,1.8084,2.2454
720,50,GA-only,378.56,0.0,0.0
720,50,PSO-guided,459.076,5.2967,6.5767
720,50,PSO-only,378.448,0.2941,0.3652
720,50,Regular,456.892,8.5643,10.634
720,80,GA-guided,494.66,2.9985,3.7231
720,80,GA-only,420.92,0.0,0.0
720,80,PSO-guided,492.124,5.9955,7.4443
720,80,PSO-only,420.996,0.3511,0.436
720,80,Regular,490.928,9.5059,11.8032
720,100,GA-guided,506.228,3.0611,3.8008
720,100,GA-only,436.44,0.0,0.0
720,100,PSO-guided,503.656,9.0683,11.2598
720,100,PSO-only,436.216,0.4246,0.5272
720,100,Regular,502.392,8.1196,10.0818
1080,10,GA-guided,382.08,27.3772,33.9933
1080,10,GA-only,273.28,0.0,0.0
1080,10,PSO-guided,369.192,6.3926,7.9374
1080,10,PSO-only,273.324,0.0953,0.1183
1080,10,Regular,369.928,11.3922,14.1453
1080,20,GA-guided,434.176,17.5327,21.7697
1080,20,GA-only,319.3,0.0,0.0
1080,20,PSO-guided,427.192,5.0924,6.323
1080,20,PSO-only,319.36,0.172,0.2136
1080,20,Regular,425.792,12.5737,15.6123
1080,30,GA-guided,464.912,9.2508,11.4864
1080,30,GA-only,351.34,0.0,0.0
1080,30,PSO-guided,462.412,6.0222,7.4776
1080,30,PSO-only,351.332,0.2941,0.3652
1080,30,Regular,461.304,12.1015,15.026
1080,50,GA-guided,506.184,7.3102,9.0768
1080,50,GA-only,403.3,0.0,0.0
1080,50,PSO-guided,504.62,6.4151,7.9654
1080,50,PSO-only,403.288,0.223,0.2769
1080,50,Regular,503.824,11.1614,13.8587
1080,80,GA-guided,544.632,4.7421,5.8881
1080,80,GA-only,439.94,0.0,0.0
1080,80,PSO-guided,543.432,6.7693,8.4052
1080,80,PSO-only,439.84,0.4966,0.6166
1080,80,Regular,542.36,9.9358,12.337
1080,100,GA-guided,564.016,3.7779,4.6908
1080,100,GA-only,456.84,0.0,0.0
1080,100,PSO-guided,562.768,6.9281,8.6023
1080,100,PSO-only,457.048,0.2496,0.31
1080,100,Regular,561.1,10.3059,12.7964
1440,10,GA-guided,414.688,53.1833,66.0358
1440,10,GA-only,286.26,0.0,0.0
1440,10,PSO-guided,387.736,6.7558,8.3885
1440,10,PSO-only,286.008,0.3604,0.4476
1440,10,Regular,392.268,9.6531,11.9859
1440,20,GA-guided,474.224,50.6289,62.8641
1440,20,GA-only,329.96,0.0,0.0
1440,20,PSO-guided,450.968,8.6406,10.7287
1440,20,PSO-only,329.984,0.1802,0.2238
1440,20,Regular,451.768,12.708,15.7791
1440,30,GA-guided,508.324,44.2513,54.9453
1440,30,GA-only,369.04,0.0,0.0
1440,30,PSO-guided,485.8,6.7831,8.4223
1440,30,PSO-only,368.428,0.388,0.4817
1440,30,Regular,487.308,15.5303,19.2835
1440,50,GA-guided,554.908,56.6937,70.3946
1440,50,GA-only,391.52,0.0,0.0
1440,50,PSO-guided,528.932,6.6516,8.259
1440,50,PSO-only,391.532,0.2831,0.3515
1440,50,Regular,527.568,16.235,20.1584
1440,80,GA-guided,585.76,33.9839,42.1966
1440,80,GA-only,425.34,0.0,0.0
1440,80,PSO-guided,570.908,7.1272,8.8496
1440,80,PSO-only,425.312,0.2492,0.3095
1440,80,Regular,569.972,14.1234,17.5365
1440,100,GA-guided,606.072,30.8523,38.3081
1440,100,GA-only,444.56,0.0,0.0
1440,100,PSO-guided,592.884,6.9795,8.6662
1440,100,PSO-only,444.42,0.5077,0.6304
1440,100,Regular,591.188,13.4111,16.652
