duration_int,return_period_int,model,n_dryrun_proxy_mean,n_dryrun_proxy_std,n_dryrun_proxy_ci95_half
720,80,GA-guided,3.192,1.7249,2.1418
720,80,GA-only,0.44,0.0,0.0
720,80,PSO-guided,2.564,1.8761,2.3295
720,80,PSO-only,0.428,0.0228,0.0283
720,80,Regular,3.948,3.563,4.424
720,100,GA-guided,3.364,1.8425,2.2877
720,100,GA-only,0.34,0.0,0.0
720,100,PSO-guided,2.58,1.8999,2.3591
720,100,PSO-only,0.364,0.0167,0.0208
720,100,Regular,3.88,3.6619,4.5469
1080,10,GA-guided,14.476,19.297,23.9604
1080,10,GA-only,0.6,0.0,0.0
1080,10,PSO-guided,3.724,2.9821,3.7027
1080,10,PSO-only,0.6,0.0245,0.0304
1080,10,Regular,7.412,5.419,6.7286
1080,20,GA-guided,10.492,12.0914,15.0135
1080,20,GA-only,1.22,0.0,0.0
1080,20,PSO-guided,4.292,1.9122,2.3743
1080,20,PSO-only,1.232,0.0522,0.0648
1080,20,Regular,6.312,5.479,6.8031
1080,30,GA-guided,8.444,7.7383,9.6083
1080,30,GA-only,0.64,0.0,0.0
1080,30,PSO-guided,8.128,9.1509,11.3623
1080,30,PSO-only,0.656,0.0329,0.0408
1080,30,Regular,6.308,6.1546,7.642
1080,50,GA-guided,6.864,5.4893,6.8159
1080,50,GA-only,1.1,0.0,0.0
1080,50,PSO-guided,5.16,3.1393,3.898
1080,50,PSO-only,1.088,0.0363,0.0451
1080,50,Regular,6.436,5.7067,7.0858
1080,80,GA-guided,5.576,3.0834,3.8285
1080,80,GA-only,1.08,0.0,0.0
1080,80,PSO-guided,4.108,2.2631,2.81
1080,80,PSO-only,1.1,0.0283,0.0351
1080,80,Regular,5.82,4.5111,5.6013
1080,100,GA-guided,5.732,2.1366,2.653
1080,100,GA-only,1.06,0.0,0.0
1080,100,PSO-guided,3.968,2.2344,2.7744
1080,100,PSO-only,1.052,0.054,0.0671
1080,100,Regular,5.876,5.0547,6.2762
1440,10,GA-guided,23.904,35.9,44.5757
1440,10,GA-only,0.44,0.0,0.0
1440,10,PSO-guided,4.34,3.6983,4.5921
1440,10,PSO-only,0.448,0.0179,0.0222
1440,10,Regular,9.472,7.3338,9.1061
1440,20,GA-guided,22.428,33.8809,42.0687
1440,20,GA-only,0.94,0.0,0.0
1440,20,PSO-guided,4.72,4.146,5.1479
1440,20,PSO-only,0.932,0.0179,0.0222
1440,20,Regular,8.728,7.2391,8.9885
1440,30,GA-guided,21.628,30.0721,37.3395
1440,30,GA-only,0.54,0.0,0.0
1440,30,PSO-guided,4.56,3.6173,4.4914
1440,30,PSO-only,0.56,0.0245,0.0304
1440,30,Regular,9.644,8.2783,10.2789
1440,50,GA-guided,23.604,37.8148,46.9532
1440,50,GA-only,1.5,0.0,0.0
1440,50,PSO-guided,4.648,2.8461,3.5339
1440,50,PSO-only,1.492,0.0844,0.1048
1440,50,Regular,7.944,6.7819,8.4208
1440,80,GA-guided,16.6,23.203,28.8103
1440,80,GA-only,1.3,0.0,0.0
1440,80,PSO-guided,5.54,3.0519,3.7894
1440,80,PSO-only,1.316,0.0167,0.0208
1440,80,Regular,7.64,6.2009,7.6994
1440,100,GA-guided,17.492,24.6231,30.5736
1440,100,GA-only,1.72,0.0,0.0
1440,100,PSO-guided,6.632,4.1406,5.1413
1440,100,PSO-only,1.728,0.0303,0.0377
1440,100,Regular,7.336,6.5406,8.1212
