scenario_id,return_period,duration_min,overflow_flag,total_inflow_m3,max_possible_drain_m3,inflow_minus_maxdrain_m3,reservoir_capacity_m3,peak_vol_m3,max_level_m
80yr_0060m_h163,80,60,0,31479.616681934476,74240,-42760.38331806552,16000.0,4574.7080390152005,7.033591031758883
80yr_0060m_h165,80,60,0,32010.85933357067,74240,-42229.14066642933,16000.0,4860.776470741913,7.111901579726776
80yr_0060m_h190,80,60,0,31138.44484036694,74240,-43101.55515963306,16000.0,5334.592945768915,7.241607704836823
80yr_0060m_h214,80,60,0,30845.670022331193,74240,-43394.32997766881,16000.0,5017.032935408091,7.154676412649354
80yr_0060m_h238,80,60,0,30123.832016144344,74240,-44116.16798385566,16000.0,5434.564861202964,7.268974777225011
100yr_0060m_h129,100,60,0,33216.37066723786,74240,-41023.62933276214,16000.0,4146.224076754731,6.8953334248060205
100yr_0060m_h142,100,60,0,33251.336662964946,74240,-40988.663337035054,16000.0,4158.508410279354,6.899538331146967
100yr_0060m_h152,100,60,0,32704.444688269883,74240,-41535.55531173012,16000.0,3914.3935076719426,6.815978217785017
100yr_0060m_h157,100,60,0,32443.427606278437,74240,-41796.572393721566,16000.0,5071.557471061613,7.169602373682347
100yr_0060m_h206,100,60,0,31383.226714575023,74240,-42856.77328542498,16000.0,5489.966416547248,7.284140820297631
10yr_0120m_h268,10,120,0,31379.373394558643,112640,-81260.62660544136,16000.0,3210.0082399168828,6.574868346181818
10yr_0120m_h281,10,120,0,32078.104005469042,112640,-80561.89599453096,16000.0,2996.5567136513737,6.501804254061595
10yr_0120m_h330,10,120,0,32240.537558726235,112640,-80399.46244127376,16000.0,3345.840418056481,6.621363468283392
10yr_0120m_h335,10,120,0,32039.46262218383,112640,-80600.53737781617,16000.0,3354.8268573761807,6.624439511082311
10yr_0120m_h349,10,120,0,31320.808129336176,112640,-81319.19187066382,16000.0,3340.0338224353363,6.619375880540213
20yr_0120m_h250,20,120,0,36822.457617222346,112640,-75817.54238277765,16000.0,3303.22928068721,6.6067777488904875
20yr_0120m_h257,20,120,0,36214.19481577891,112640,-76425.8051842211,16000.0,3309.59423913879,6.608956463274891
20yr_0120m_h293,20,120,0,37230.282797055435,112640,-75409.71720294456,16000.0,3336.524080184133,6.6181745017745195
20yr_0120m_h322,20,120,0,37517.22569379221,112640,-75122.7743062078,16000.0,3291.5239972287545,6.602771050396151
20yr_0120m_h325,20,120,0,37550.69178941827,112640,-75089.30821058173,16000.0,3299.8522615768525,6.605621801028751
30yr_0120m_h253,30,120,0,39631.60905934576,112640,-73008.39094065424,16000.0,3358.9409070831107,6.625847743255832
30yr_0120m_h305,30,120,0,39864.054766619905,112640,-72775.9452333801,16000.0,3351.858638489828,6.623423494837594
30yr_0120m_h318,30,120,0,39621.953728795896,112640,-73018.0462712041,16000.0,3352.6037859086473,6.623678557523743
30yr_0120m_h334,30,120,0,40352.088484141925,112640,-72287.91151585808,16000.0,3289.1700939426764,6.601965313330012
30yr_0120m_h362,30,120,0,39357.614259080554,112640,-73282.38574091945,16000.0,4147.313149927637,6.895706212689166
50yr_0120m_h255,50,120,0,44445.59746603872,112640,-68194.40253396129,16000.0,3408.2732275473554,6.642734112118899
50yr_0120m_h259,50,120,0,44263.68975496562,112640,-68376.31024503437,16000.0,3358.6525815600326,6.625749049922749
50yr_0120m_h261,50,120,0,44201.65365857178,112640,-68438.34634142823,16000.0,3364.6997786262073,6.627818995128775
50yr_0120m_h321,50,120,0,43210.86535997968,112640,-69429.13464002032,16000.0,3848.1762762350536,6.793312172794395
50yr_0120m_h344,50,120,0,42422.52147015224,112640,-70217.47852984775,16000.0,4517.032652483791,7.017802532845275
80yr_0120m_h285,80,120,0,46834.87702096873,112640,-65805.12297903126,16000.0,3816.71900450899,6.782544402521415
80yr_0120m_h288,80,120,0,47739.51118753839,112640,-64900.48881246161,16000.0,3976.3780514864056,6.837195421046691
80yr_0120m_h316,80,120,0,45718.24002852644,112640,-66921.75997147357,16000.0,4827.206295928203,7.102711824781879
80yr_0120m_h332,80,120,0,45467.406187139684,112640,-67172.59381286032,16000.0,4652.340243593983,7.054842661810562
80yr_0120m_h335,80,120,0,46213.792781589626,112640,-66426.20721841037,16000.0,4822.122509114681,7.101320150318829
100yr_0120m_h268,100,120,0,49217.832021611895,112640,-63422.167978388105,16000.0,3428.147570015391,6.64953706553094
100yr_0120m_h299,100,120,0,48284.0990001282,112640,-64355.9009998718,16000.0,4592.59849874305,7.038488502256516
100yr_0120m_h326,100,120,0,47053.65278290944,112640,-65586.34721709056,16000.0,5209.744388941539,7.2074307114540215
100yr_0120m_h331,100,120,0,47722.16804784926,112640,-64917.83195215074,16000.0,5340.732421602788,7.243288371640511
100yr_0120m_h364,100,120,0,47341.089273099795,112640,-65298.910726900205,16000.0,6068.136328382541,7.442413448777044
10yr_0180m_h385,10,180,0,38048.20791368453,151040,-112991.79208631547,16000.0,3112.8837554449947,6.541622801374815
10yr_0180m_h417,10,180,0,37468.532666286934,151040,-113571.46733371307,16000.0,3096.5390892384657,6.536028050106077
10yr_0180m_h427,10,180,0,37422.08058661512,151040,-113617.91941338488,16000.0,3085.3741220311927,6.532206300939772
10yr_0180m_h433,10,180,0,38169.59745284439,151040,-112870.40254715561,16000.0,3107.6508231979255,6.539831577622762
10yr_0180m_h483,10,180,0,38908.65972275765,151040,-112131.34027724236,16000.0,3385.382646388507,6.634898705365259
20yr_0180m_h410,20,180,0,45082.83881638281,151040,-105957.1611836172,16000.0,3052.0364718529268,6.520794880340855
20yr_0180m_h417,20,180,0,45522.5194159147,151040,-105517.48058408531,16000.0,3148.4532735918506,6.553798186559558
20yr_0180m_h430,20,180,0,44942.15912138187,151040,-106097.84087861812,16000.0,3029.399453052855,6.5130462675486545
20yr_0180m_h447,20,180,0,44527.28557086227,151040,-106512.71442913773,16000.0,3324.259330795978,6.613976299049968
20yr_0180m_h466,20,180,0,44409.525214515685,151040,-106630.47478548432,16000.0,3353.6637109818985,6.624041368062263
30yr_0180m_h387,30,180,0,47298.533363184295,151040,-103741.4666368157,16000.0,2997.0493995340285,6.501972899596
30yr_0180m_h405,30,180,0,48670.09360256593,151040,-102369.90639743407,16000.0,3372.653277003943,6.630541464011129
30yr_0180m_h407,30,180,0,49064.00590291746,151040,-101975.99409708254,16000.0,3397.7064702733496,6.6391171291889215
30yr_0180m_h415,30,180,0,48174.93762034949,151040,-102865.06237965051,16000.0,3357.0495273811002,6.625200327220915
30yr_0180m_h454,30,180,0,48883.10160051312,151040,-102156.89839948688,16000.0,3380.846241555828,6.633345901755051
50yr_0180m_h372,50,180,0,52818.57399319732,151040,-98221.42600680268,16000.0,3303.015800714412,6.6067046750611675
50yr_0180m_h384,50,180,0,53202.424585784145,151040,-97837.57541421585,16000.0,3396.9518827650845,6.638858835176312
50yr_0180m_h428,50,180,0,53491.33987925272,151040,-97548.66012074728,16000.0,3452.1415608208426,6.657750167518136
50yr_0180m_h480,50,180,0,52684.39746667013,151040,-98355.60253332986,16000.0,3795.221108632828,6.775185709556469
50yr_0180m_h489,50,180,0,51983.15620815028,151040,-99056.84379184972,16000.0,3623.5461171720945,6.716421653799739
80yr_0180m_h393,80,180,0,57250.04423681711,151040,-93789.9557631829,16000.0,3320.7058300852404,6.612759941838468
80yr_0180m_h411,80,180,0,57099.985018799154,151040,-93940.01498120085,16000.0,3403.037231868435,6.640941839759367
80yr_0180m_h452,80,180,0,56899.71175289851,151040,-94140.28824710149,16000.0,3602.1639065007585,6.709102559682411
80yr_0180m_h458,80,180,0,56785.94596497114,151040,-94254.05403502885,16000.0,3526.8557797007034,6.683324716767967
80yr_0180m_h492,80,180,0,56493.23581828037,151040,-94546.76418171963,16000.0,4558.294565236424,7.029097882626998
100yr_0180m_h386,100,180,0,59719.32306444549,151040,-91320.67693555451,16000.0,3440.3922948435566,6.65372841388288
100yr_0180m_h420,100,180,0,59129.741286285665,151040,-91910.25871371434,16000.0,3381.6505197278548,6.633621204796821
100yr_0180m_h430,100,180,0,59167.03170007402,151040,-91872.96829992598,16000.0,3390.5883033988794,6.636680592850472
100yr_0180m_h472,100,180,0,58134.53451223237,151040,-92905.46548776762,16000.0,4982.388342260698,7.145192538259156
100yr_0180m_h493,100,180,0,58096.16916385281,151040,-92943.83083614719,16000.0,4948.236665570474,7.13584359856843
10yr_0240m_h507,10,240,0,43139.21352336332,189440,-146300.78647663668,16000.0,2993.5978521773586,6.500791440843106
10yr_0240m_h512,10,240,0,43407.17735566213,189440,-146032.82264433787,16000.0,3045.0647307504987,6.518408465293569
10yr_0240m_h513,10,240,0,43041.75764650075,189440,-146398.24235349926,16000.0,3045.796138676056,6.518658824974689
10yr_0240m_h586,10,240,0,43700.05478334654,189440,-145739.94521665346,16000.0,3049.446833985388,6.51990845173094
10yr_0240m_h598,10,240,0,45287.23801812611,189440,-144152.7619818739,16000.0,3021.814102445962,6.510449815018178
20yr_0240m_h506,20,240,0,51292.43643992583,189440,-138147.56356007417,16000.0,3129.590713912584,6.547341564664454
20yr_0240m_h543,20,240,0,51976.65637010765,189440,-137463.34362989233,16000.0,3066.143778116885,6.525623787130474
20yr_0240m_h547,20,240,0,51254.96795808239,189440,-138185.0320419176,16000.0,3047.1017879845367,6.519105746498374
20yr_0240m_h579,20,240,0,51630.683723878494,189440,-137809.3162761215,16000.0,3077.29578263412,6.529441099190163
20yr_0240m_h605,20,240,0,52028.54736859111,189440,-137411.45263140887,16000.0,3373.494039399623,6.630829255540213
