scenario_id,return_period,duration_min,n_steps,max_level_m,overflow_flag,n_switches,n_intervals_100,n_intervals_170,n_dryrun_proxy,cum_reward,total_inflow_m3,total_outflow_m3,peak_inflow_per_step_m3,max_possible_drain_m3,reservoir_capacity_m3,inflow_minus_maxdrain_m3,peak_vol_m3,wall_s
10yr_0180m_h427,10,180,119,6.532206300939772,0,10,156,14,0,240.40944162417932,37422.08058661512,35960.0,795.4600476382468,151040,16000.0,-113617.91941338488,3085.3741220311927,0.06781485304236412
10yr_0180m_h433,10,180,119,6.539831577622762,0,8,159,15,0,240.59245113360095,38169.59745284439,36900.0,815.1103280085965,151040,16000.0,-112870.40254715561,3107.6508231979255,0.06764339213259518
10yr_0180m_h483,10,180,119,6.634898705365259,0,11,147,24,0,240.62400622467584,38908.65972275765,37360.0,1061.6223839806287,151040,16000.0,-112131.34027724236,3385.382646388507,0.06915433309040964
20yr_0180m_h410,20,180,119,6.520794880340855,0,8,167,30,0,242.34750262367035,45082.83881638281,43600.0,994.8267696666405,151040,16000.0,-105957.1611836172,3052.0364718529268,0.07134944200515747
20yr_0180m_h417,20,180,119,6.553798186559558,0,14,169,31,0,242.10672460022852,45522.5194159147,44340.0,1005.4199500806562,151040,16000.0,-105517.48058408531,3148.4532735918506,0.07251004385761917
20yr_0180m_h430,20,180,119,6.5130462675486545,0,10,168,30,0,242.08555125598804,44942.15912138187,43800.0,991.3614517142007,151040,16000.0,-106097.84087861812,3029.399453052855,0.07162589207291603
20yr_0180m_h447,20,180,119,6.613976299049968,0,10,164,30,0,242.1307623709805,44527.28557086227,43000.0,1073.3249384845556,151040,16000.0,-106512.71442913773,3324.259330795978,0.07511435193009675
20yr_0180m_h466,20,180,119,6.624041368062263,0,10,160,33,0,241.9349010042832,44409.525214515685,43220.0,1176.2510460519165,151040,16000.0,-106630.47478548432,3353.6637109818985,0.07047504396177828
30yr_0180m_h387,30,180,119,6.501972899596,0,16,185,27,0,241.2426940472288,47298.533363184295,46180.0,945.9979403532029,151040,16000.0,-103741.4666368157,2997.0493995340285,0.0749911640305072
30yr_0180m_h405,30,180,119,6.630541464011129,0,13,178,35,0,242.0524400562995,48670.09360256593,47300.0,1080.9997297214354,151040,16000.0,-102369.90639743407,3372.653277003943,0.07847307389602065
30yr_0180m_h407,30,180,119,6.6391171291889215,0,13,182,35,0,242.37317766686417,49064.00590291746,48100.0,1090.2178203719418,151040,16000.0,-101975.99409708254,3397.7064702733496,0.07634018105454743
30yr_0180m_h415,30,180,119,6.625200327220915,0,12,177,34,0,242.62878842580847,48174.93762034949,46960.0,1069.972380694878,151040,16000.0,-102865.06237965051,3357.0495273811002,0.07465053000487387
30yr_0180m_h454,30,180,119,6.633345901755051,0,10,171,40,0,243.09602725137862,48883.10160051312,47800.0,1166.1720681758347,151040,16000.0,-102156.89839948688,3380.846241555828,0.07213511690497398
50yr_0180m_h372,50,180,119,6.6067046750611675,0,10,201,33,0,242.76106871580794,52818.57399319732,51420.0,1075.2534552037555,151040,16000.0,-98221.42600680268,3303.015800714412,0.07537209615111351
50yr_0180m_h384,50,180,119,6.638858835176312,0,10,199,35,0,242.6729156836186,53202.424585784145,51700.0,1084.2064763963613,151040,16000.0,-97837.57541421585,3396.9518827650845,0.07545200595632195
50yr_0180m_h428,50,180,119,6.657750167518136,0,14,188,45,0,243.28432837309833,53491.33987925272,52900.0,1169.028354147935,151040,16000.0,-97548.66012074728,3452.1415608208426,0.0742133460007608
50yr_0180m_h480,50,180,119,6.775185709556469,0,14,172,49,0,244.21680501382008,52684.39746667013,51060.0,1357.3350184298624,151040,16000.0,-98355.60253332986,3795.221108632828,0.07280753296799958
50yr_0180m_h489,50,180,119,6.716421653799739,0,10,175,48,0,245.08686676601997,51983.15620815028,51320.0,1344.725844512292,151040,16000.0,-99056.84379184972,3623.5461171720945,0.07224514102563262
80yr_0180m_h393,80,180,119,6.612759941838468,0,10,201,44,0,243.15240967333963,57250.04423681711,55160.0,1161.6148256630445,151040,16000.0,-93789.9557631829,3320.7058300852404,0.07682225084863603
80yr_0180m_h411,80,180,119,6.640941839759367,0,16,194,52,0,243.6469770042368,57099.985018799154,56480.0,1248.0864529854691,151040,16000.0,-93940.01498120085,3403.037231868435,0.0749271479435265
80yr_0180m_h452,80,180,119,6.709102559682411,0,10,177,58,0,245.86151507763998,56899.71175289851,55120.0,1320.246828661806,151040,16000.0,-94140.28824710149,3602.1639065007585,0.07339750998653471
80yr_0180m_h458,80,180,119,6.683324716767967,0,13,180,58,0,245.48365658618,56785.94596497114,55520.0,1317.8991437966224,151040,16000.0,-94254.05403502885,3526.8557797007034,0.07325560599565506
80yr_0180m_h492,80,180,119,7.029097882626998,0,11,182,56,0,246.90666942134018,56493.23581828037,55240.0,1425.0969137656302,151040,16000.0,-94546.76418171963,4558.294565236424,0.0743287589866668
100yr_0180m_h386,100,180,119,6.65372841388288,0,14,212,48,0,243.80164687160902,59719.32306444549,58720.0,1210.2150871282568,151040,16000.0,-91320.67693555451,3440.3922948435566,0.07845450099557638
100yr_0180m_h420,100,180,119,6.633621204796821,0,13,196,57,0,244.83749654971723,59129.741286285665,58380.0,1287.0694536252875,151040,16000.0,-91910.25871371434,3381.6505197278548,0.09152960008941591
100yr_0180m_h430,100,180,119,6.636680592850472,0,11,192,58,0,245.6747993131894,59167.03170007402,57920.0,1287.8930909041692,151040,16000.0,-91872.96829992598,3390.5883033988794,0.07642921595834196
100yr_0180m_h472,100,180,119,7.145192538259156,0,10,185,58,0,247.82049901674844,58134.53451223237,56720.0,1452.1424096985693,151040,16000.0,-92905.46548776762,4982.388342260698,0.07585438387468457
100yr_0180m_h493,100,180,119,7.13584359856843,0,10,185,58,0,247.72745401455168,58096.16916385281,56720.0,1451.4218744439977,151040,16000.0,-92943.83083614719,4948.236665570474,0.07532137096859515
10yr_0240m_h507,10,240,149,6.500791440843106,0,14,196,8,0,300.3057037261529,43139.21352336332,41920.0,684.3632276006401,189440,16000.0,-146300.78647663668,2993.5978521773586,0.08503143512643874
10yr_0240m_h512,10,240,149,6.518408465293569,0,16,197,8,0,299.71339953221457,43407.17735566213,42120.0,688.2508677784574,189440,16000.0,-146032.82264433787,3045.0647307504987,0.08471081010065973
10yr_0240m_h513,10,240,149,6.518658824974689,0,14,193,8,0,299.71778439407603,43041.75764650075,41320.0,683.0637833641988,189440,16000.0,-146398.24235349926,3045.796138676056,0.08430743892677128
10yr_0240m_h586,10,240,149,6.51990845173094,0,12,188,14,0,301.38692174785444,43700.05478334654,42360.0,812.594121353533,189440,16000.0,-145739.94521665346,3049.446833985388,0.08107343199662864
