condition,scenario,n_decisions,swmm_time_s,inference_time_s,total_time_s,ms_per_decision_inference_only,margin_x
Regular,20yr_0120m_h366,88,0.05447818781249225,0.011906714644283056,0.07107091881334782,0.13530357550321653,148583.98028782383
Regular,20yr_0180m_h435,118,0.07383256987668574,0.014543893747031689,0.09411287982948124,0.12325333683925159,150457.62095109455
Regular,20yr_0240m_h588,148,0.0851719870697707,0.018464058870449662,0.11081283912062645,0.12475715453006528,160270.2371037274
Regular,20yr_0360m_h664,208,0.11671817698515952,0.025228377198800445,0.15185066009871662,0.12129027499423291,164372.0217203781
Regular,20yr_0540m_h775,298,0.1586612679529935,0.03471450740471482,0.2069494379684329,0.11649163558629136,172795.83047456577
Regular,20yr_0720m_h983,388,0.20160285499878228,0.04411653894931078,0.2628855830989778,0.11370241997245047,177111.27195008605
Regular,20yr_1080m_h1084,568,0.28429845510981977,0.06420068698935211,0.3736646689940244,0.11302937850238047,182409.5389684541
Regular,20yr_1440m_h1149,748,0.3728686210233718,0.08441289537586272,0.49014587607234716,0.11285146440623359,183129.15477177477
Regular,30yr_0060m_h214,58,0.03660888900049031,0.006835198029875755,0.04618367902003229,0.11784824189440957,150702.5890462534
Regular,30yr_0120m_h335,88,0.05178495403379202,0.01037399540655315,0.06631533312611282,0.11788631143810398,159239.19103170148
Regular,30yr_0180m_h490,118,0.0669544308912009,0.013786299852654338,0.08626059396192431,0.11683304959876557,164153.75027733133
Regular,30yr_0240m_h619,148,0.08239378896541893,0.01722433976829052,0.10655654803849757,0.11638067411007108,166672.06593050977
Regular,30yr_0360m_h687,208,0.11792089487425983,0.024149065604433417,0.15163756883703172,0.11610127694439143,164603.0082876432
Regular,30yr_0540m_h753,298,0.1547336440999061,0.03377522644586861,0.20174030703492463,0.11333968605996178,177257.586872857
Regular,30yr_0720m_h988,388,0.20056591602042317,0.04339394927956164,0.2609428041614592,0.11184007546278772,178429.90593138122
Regular,30yr_1080m_h1011,568,0.2893476060125977,0.0642867456190288,0.37904173298738897,0.11318089017434649,179821.88785071785
Regular,30yr_1440m_h1148,748,0.3795957078691572,0.08282075892202556,0.49495385494083166,0.11072293973532829,181350.2392273118
Regular,50yr_0060m_h244,58,0.03684384003281593,0.006773478584364057,0.04641615995205939,0.11678411352351822,149947.77696363913
Regular,50yr_0120m_h326,88,0.051883617183193564,0.01023635221645236,0.06622768100351095,0.11632218427786774,159449.94358839438
Regular,50yr_0180m_h411,118,0.0701768200378865,0.013441878603771329,0.08892504801042378,0.11391422545568923,159235.22468427758
Regular,50yr_0240m_h616,148,0.08149888692423701,0.016693477286025882,0.10483897593803704,0.11279376544612083,169402.64668835272
Regular,50yr_0360m_h678,208,0.11471896711736917,0.023368897382169962,0.14734283415600657,0.11235046818350944,169400.8408550928
Regular,50yr_0540m_h777,298,0.15401558694429696,0.03386496566236019,0.2011420768685639,0.11364082437033621,177784.78057262648
Regular,50yr_0720m_h940,388,0.1986634130589664,0.0429632265586406,0.2585138170979917,0.11072996535732113,180106.42727986592
Regular,50yr_1080m_h1083,568,0.2969833768438548,0.06385347433388233,0.38598016696050763,0.11241808861599002,176589.38420785213
Regular,50yr_1440m_h1145,748,0.37819819594733417,0.0846055515576154,0.4955451129935682,0.11310902614654465,181133.86177448794
Regular,80yr_0060m_h246,58,0.04017106513492763,0.006969385547563434,0.049921959172934294,0.12016181978557645,139417.6053045097
Regular,80yr_0120m_h311,88,0.05583872692659497,0.010243511525914073,0.0702074971050024,0.11640354006720537,150411.2870482543
Regular,80yr_0180m_h396,118,0.07412283797748387,0.014027446508407593,0.09368765191175044,0.11887666532548809,151140.5154367417
Regular,80yr_0240m_h578,148,0.08297865884378552,0.01751153590157628,0.10746636101976037,0.11832118852416407,165261.0159260383
Regular,80yr_0360m_h677,208,0.11818351107649505,0.02345085283741355,0.15085616894066334,0.11274448479525745,165455.6136170844
Regular,80yr_0540m_h850,298,0.16404824098572135,0.033160987542942166,0.21018478507176042,0.11127848168772539,170136.006694257
Regular,80yr_0720m_h952,388,0.1995280710980296,0.04338930267840624,0.2599246809259057,0.11182809968661402,179128.81467871234
Regular,80yr_1080m_h1070,568,0.290207187179476,0.06322641135193408,0.37804933497682214,0.11131410449284168,180293.92910895828
Regular,80yr_1440m_h1188,748,0.37173084798268974,0.08329942380078137,0.48761609592474997,0.11136286604382535,184079.23928305262
GA-guided,10yr_0060m_h193,58,0.03499225294217467,0.006934321718290448,0.04476532805711031,0.11955727100500772,155477.47111605288
GA-guided,10yr_0120m_h345,88,0.049448708072304726,0.010281536728143692,0.06376264104619622,0.11683564463799649,165614.21902755328
GA-guided,10yr_0180m_h385,118,0.06293714977800846,0.013586424756795168,0.08190297684632242,0.11513919285419634,172887.48889517083
GA-guided,10yr_0240m_h515,148,0.07736733299680054,0.01715492201037705,0.10135983885265887,0.11591163520525033,175217.3267147427
GA-guided,10yr_0360m_h672,208,0.10526823089458048,0.023457916919142008,0.13789610797539353,0.11277844672664426,181005.83378650478
GA-guided,10yr_0540m_h800,298,0.1492178081534803,0.03344286186620593,0.19571029604412615,0.11222436867854339,182719.05322721147
GA-guided,10yr_0720m_h912,388,0.19234033301472664,0.04358049831353128,0.2529000442009419,0.11232087194209092,184104.3569095058
GA-guided,10yr_1080m_h1061,568,0.27973320591263473,0.06352175818756223,0.3680956829339266,0.11183408131613068,185169.2458241483
GA-guided,10yr_1440m_h1176,748,0.3742174440994859,0.08620877307839692,0.4940457730554044,0.11525237042566433,181683.57042077946
