seed,scenario_id,Regular_cum_reward,GA-guided_cum_reward,diff_GA_minus_Regular
1,100yr_0540m_h800,161.256642,161.914424,0.657782
1,100yr_0540m_h801,160.471139,161.384634,0.913494
1,100yr_0540m_h802,160.300793,161.828918,1.528125
1,100yr_0540m_h803,160.342969,161.055940,0.712971
1,100yr_0540m_h804,160.945117,161.439042,0.493925
1,100yr_0540m_h806,161.662436,161.557530,-0.104906
1,100yr_0540m_h807,161.262100,161.462848,0.200749
1,100yr_0540m_h812,161.931935,161.893412,-0.038523
1,100yr_0540m_h813,161.947528,161.553279,-0.394249
1,100yr_0540m_h823,161.590806,161.857295,0.266489
1,100yr_0540m_h825,161.947728,161.703125,-0.244603
1,100yr_0540m_h833,162.093088,161.533917,-0.559171
1,100yr_0540m_h835,161.677471,161.699420,0.021949
1,100yr_0540m_h837,160.223868,162.014808,1.790940
1,100yr_0540m_h838,160.266661,162.010921,1.744260
1,100yr_0540m_h843,160.164891,161.732774,1.567883
1,100yr_0540m_h848,160.647116,162.010636,1.363520
1,100yr_0540m_h851,159.861033,162.083065,2.222032
1,100yr_0540m_h855,160.033122,162.059023,2.025901
1,100yr_0540m_h856,159.757733,161.886916,2.129183
1,100yr_0540m_h858,159.709901,161.830984,2.121083
1,100yr_0540m_h862,161.315586,162.230685,0.915099
1,100yr_0540m_h864,160.866602,162.014805,1.148203
1,100yr_0720m_h868,203.233290,204.998479,1.765189
1,100yr_0720m_h870,203.015773,204.880131,1.864358
1,100yr_0720m_h873,203.654805,205.093573,1.438768
1,100yr_0720m_h876,203.704406,205.220741,1.516335
1,100yr_0720m_h885,203.693779,204.700248,1.006470
1,100yr_0720m_h887,203.980392,205.184973,1.204581
1,100yr_0720m_h888,203.247687,205.244247,1.996561
1,100yr_0720m_h891,203.497929,206.002596,2.504666
1,100yr_0720m_h892,203.226369,205.724030,2.497662
1,100yr_0720m_h897,203.151848,204.917511,1.765663
1,100yr_0720m_h900,204.664735,205.827425,1.162690
1,100yr_0720m_h901,204.943581,206.801168,1.857586
1,100yr_0720m_h903,204.915058,206.393558,1.478500
1,100yr_0720m_h905,204.836880,206.718283,1.881403
1,100yr_0720m_h908,204.572059,206.483368,1.911309
1,100yr_0720m_h909,204.889031,207.111167,2.222136
1,100yr_0720m_h912,205.238314,205.653118,0.414805
1,100yr_0720m_h913,205.513073,206.527041,1.013967
1,100yr_0720m_h914,204.421740,206.550823,2.129083
1,100yr_0720m_h916,205.668461,206.729372,1.060911
1,100yr_0720m_h924,205.827090,205.925194,0.098104
1,100yr_0720m_h925,204.775822,206.827720,2.051898
1,100yr_0720m_h926,204.786083,206.543672,1.757588
1,100yr_0720m_h927,204.270791,206.185417,1.914626
1,100yr_0720m_h930,205.637873,206.484085,0.846212
1,100yr_0720m_h932,205.253058,207.068688,1.815630
1,100yr_0720m_h935,205.340098,206.965495,1.625396
1,100yr_0720m_h937,205.716541,206.626004,0.909462
1,100yr_0720m_h938,206.373140,206.594796,0.221656
1,100yr_0720m_h939,205.128474,206.867417,1.738943
1,100yr_0720m_h940,206.152983,206.639030,0.486047
1,100yr_0720m_h944,205.048812,207.007901,1.959090
1,100yr_0720m_h950,205.864059,206.655611,0.791552
1,100yr_0720m_h956,205.909418,206.856935,0.947516
1,100yr_0720m_h957,205.750156,206.827669,1.077513
1,100yr_0720m_h958,205.164039,206.762625,1.598586
1,100yr_0720m_h960,204.995576,206.983320,1.987744
1,100yr_0720m_h961,205.306819,206.632707,1.325888
1,100yr_0720m_h964,206.196260,206.302345,0.106085
1,100yr_0720m_h966,205.322223,206.252388,0.930166
1,100yr_0720m_h967,205.883299,206.190224,0.306925
1,100yr_0720m_h968,205.508007,206.507536,0.999530
1,100yr_0720m_h971,205.080395,206.401005,1.320610
1,100yr_0720m_h975,206.095166,206.216995,0.121828
1,100yr_0720m_h980,205.848294,206.559626,0.711331
1,100yr_0720m_h982,205.812051,206.464136,0.652085
1,100yr_0720m_h983,205.306819,206.632707,1.325888
1,100yr_0720m_h984,206.432453,206.401153,-0.031300
1,100yr_0720m_h985,206.628827,206.299190,-0.329637
1,100yr_0720m_h989,205.956081,206.102122,0.146042
1,100yr_1080m_h1013,293.628766,293.184830,-0.443936
1,100yr_1080m_h1020,293.584140,294.094880,0.510740
1,100yr_1080m_h1021,293.862852,293.253597,-0.609255
1,100yr_1080m_h1022,294.018584,293.844523,-0.174062
1,100yr_1080m_h1023,293.699251,293.923363,0.224111
1,100yr_1080m_h1027,293.284072,294.159274,0.875203
1,100yr_1080m_h1030,293.571385,294.563124,0.991739
1,100yr_1080m_h1031,293.634734,295.092273,1.457540
1,100yr_1080m_h1032,293.753198,294.975045,1.221848
1,100yr_1080m_h1040,293.024903,293.855769,0.830866
1,100yr_1080m_h1041,293.704131,294.063848,0.359717
1,100yr_1080m_h1043,293.324758,294.111293,0.786536
1,100yr_1080m_h1045,292.886392,293.963070,1.076678
1,100yr_1080m_h1047,292.990339,294.168318,1.177978
1,100yr_1080m_h1048,292.935404,294.157308,1.221904
1,100yr_1080m_h1051,293.732908,294.327675,0.594767
1,100yr_1080m_h1052,293.699251,293.923363,0.224111
1,100yr_1080m_h1053,293.858042,294.128503,0.270461
1,100yr_1080m_h1054,294.476308,294.496329,0.020021
1,100yr_1080m_h1055,294.275693,294.593196,0.317503
1,100yr_1080m_h1056,294.717864,295.026494,0.308630
1,100yr_1080m_h1058,293.919102,294.744979,0.825878
1,100yr_1080m_h1064,294.099727,294.664474,0.564747
1,100yr_1080m_h1067,293.696474,294.577302,0.880828
1,100yr_1080m_h1068,294.668366,294.695508,0.027142
1,100yr_1080m_h1069,293.699832,294.990924,1.291092
1,100yr_1080m_h1070,294.476308,294.496329,0.020021
1,100yr_1080m_h1071,293.717274,295.208153,1.490879
1,100yr_1080m_h1072,294.727531,295.147470,0.419939
1,100yr_1080m_h1073,294.500828,294.805445,0.304618
1,100yr_1080m_h1076,294.116771,294.676259,0.559489
1,100yr_1080m_h1077,294.703521,294.979861,0.276341
1,100yr_1080m_h1080,294.779404,294.613064,-0.166341
1,100yr_1080m_h1081,294.223815,294.658298,0.434483
1,100yr_1080m_h1084,293.288950,294.999258,1.710307
1,100yr_1080m_h1085,292.864027,293.422233,0.558206
1,100yr_1080m_h1086,292.748279,293.531189,0.782910
1,100yr_1080m_h1087,292.729836,293.645051,0.915214
1,100yr_1080m_h1088,293.128322,293.716509,0.588187
1,100yr_1080m_h1089,293.081809,293.323056,0.241247
1,100yr_1080m_h1095,293.267403,293.395222,0.127818
1,100yr_1080m_h1098,292.854618,293.199180,0.344562
1,100yr_1080m_h1099,293.241073,293.796206,0.555133
1,100yr_1080m_h1108,293.640614,293.197572,-0.443042
1,100yr_1080m_h1110,293.964445,293.255728,-0.708716
1,100yr_1080m_h1112,292.864027,293.422233,0.558206
1,100yr_1080m_h992,293.817517,293.883543,0.066025
1,100yr_1080m_h993,293.688071,293.085856,-0.602215
1,100yr_1080m_h996,293.686172,293.449176,-0.236996
1,100yr_1080m_h998,293.447836,292.809704,-0.638131
1,100yr_1440m_h1121,383.635081,382.133724,-1.501357
1,100yr_1440m_h1122,383.542950,382.044037,-1.498913
1,100yr_1440m_h1126,383.620800,381.894632,-1.726168
1,100yr_1440m_h1127,383.279546,381.998212,-1.281334
1,100yr_1440m_h1132,383.329697,381.988378,-1.341318
1,100yr_1440m_h1133,383.563245,382.271250,-1.291994
1,100yr_1440m_h1134,383.519085,381.778236,-1.740850
1,100yr_1440m_h1135,383.518078,381.371543,-2.146535
1,100yr_1440m_h1141,383.576284,382.516981,-1.059303
1,100yr_1440m_h1144,383.596233,382.078333,-1.517900
1,100yr_1440m_h1149,383.682843,382.187469,-1.495374
1,100yr_1440m_h1153,383.664287,382.622089,-1.042197
1,100yr_1440m_h1155,383.674891,382.518081,-1.156810
1,100yr_1440m_h1156,383.829833,383.420136,-0.409697
1,100yr_1440m_h1157,383.897390,383.137202,-0.760188
1,100yr_1440m_h1159,384.171806,382.954690,-1.217116
1,100yr_1440m_h1166,383.726342,382.763182,-0.963159
1,100yr_1440m_h1167,383.696595,382.191643,-1.504952
1,100yr_1440m_h1171,383.851832,382.486096,-1.365735
1,100yr_1440m_h1173,383.848638,382.417222,-1.431416
1,100yr_1440m_h1176,383.807090,382.780528,-1.026562
1,100yr_1440m_h1177,383.532719,383.006588,-0.526132
1,100yr_1440m_h1178,383.744097,382.841238,-0.902859
1,100yr_1440m_h1180,383.772506,383.024873,-0.747632
1,100yr_1440m_h1183,383.483412,382.620296,-0.863116
1,100yr_1440m_h1185,383.887806,382.989391,-0.898415
1,100yr_1440m_h1186,383.326159,383.234854,-0.091305
1,100yr_1440m_h1187,382.795668,382.814330,0.018662
1,100yr_1440m_h1188,383.294396,382.614918,-0.679478
1,100yr_1440m_h1189,381.500631,382.577926,1.077295
1,100yr_1440m_h1192,383.278859,383.005308,-0.273550
1,100yr_1440m_h1194,383.022087,383.243021,0.220934
1,100yr_1440m_h1202,383.293041,383.021032,-0.272010
1,100yr_1440m_h1204,382.651056,382.704310,0.053254
1,100yr_1440m_h1205,383.437827,382.498468,-0.939359
1,100yr_1440m_h1207,383.744097,382.841238,-0.902859
1,100yr_1440m_h1209,384.851327,383.264225,-1.587102
1,100yr_1440m_h1211,384.845943,382.833812,-2.012131
1,100yr_1440m_h1212,384.591141,382.656151,-1.934990
1,100yr_1440m_h1213,385.025297,382.683771,-2.341526
1,100yr_1440m_h1215,384.856654,382.586173,-2.270482
1,100yr_1440m_h1218,384.762947,382.954677,-1.808269
1,100yr_1440m_h1219,384.457260,383.138372,-1.318888
1,100yr_1440m_h1223,384.750375,382.394883,-2.355492
1,100yr_1440m_h1224,384.834951,382.155726,-2.679225
1,100yr_1440m_h1226,384.335913,381.861589,-2.474324
1,100yr_1440m_h1228,384.773762,382.737017,-2.036745
1,100yr_1440m_h1230,384.620152,382.800188,-1.819964
1,100yr_1440m_h1232,384.522064,383.007198,-1.514866
1,100yr_1440m_h1239,384.699948,382.793004,-1.906944
1,10yr_0060m_h124,31.146136,31.716984,0.570848
1,10yr_0060m_h127,31.188841,31.655572,0.466731
1,10yr_0060m_h128,31.298362,31.605337,0.306975
1,10yr_0060m_h135,31.181785,31.734352,0.552567
1,10yr_0060m_h136,31.080892,31.652648,0.571756
1,10yr_0060m_h137,30.926592,31.629376,0.702784
1,10yr_0060m_h138,31.125370,31.616947,0.491577
1,10yr_0060m_h141,31.296083,31.654350,0.358267
1,10yr_0060m_h143,31.155410,31.647369,0.491959
1,10yr_0060m_h144,31.175704,31.728678,0.552974
1,10yr_0060m_h149,31.177178,31.526745,0.349567
1,10yr_0060m_h151,31.284795,31.699742,0.414947
1,10yr_0060m_h152,30.981247,31.541572,0.560325
1,10yr_0060m_h153,30.978385,31.577256,0.598872
1,10yr_0060m_h155,31.082676,31.665493,0.582817
1,10yr_0060m_h157,31.023294,31.504246,0.480952
1,10yr_0060m_h159,31.183340,31.684643,0.501303
1,10yr_0060m_h167,30.898770,31.602917,0.704147
1,10yr_0060m_h168,30.859156,31.553383,0.694227
1,10yr_0060m_h169,30.940137,31.542549,0.602411
1,10yr_0060m_h172,30.992641,31.528262,0.535621
1,10yr_0060m_h177,31.082676,31.665493,0.582817
1,10yr_0060m_h178,31.374717,31.709420,0.334703
1,10yr_0060m_h181,31.479829,31.706005,0.226176
1,10yr_0060m_h188,31.374743,31.504172,0.129429
1,10yr_0060m_h193,31.089716,31.571127,0.481411
1,10yr_0060m_h195,31.414209,31.678525,0.264315
1,10yr_0060m_h199,31.529222,31.640646,0.111424
1,10yr_0060m_h201,31.364908,31.477955,0.113048
1,10yr_0060m_h205,31.477789,31.584212,0.106423
1,10yr_0060m_h207,31.397950,31.693377,0.295427
1,10yr_0060m_h209,31.430318,31.531864,0.101546
1,10yr_0060m_h210,31.369525,31.625991,0.256466
1,10yr_0060m_h213,31.473130,31.555878,0.082748
1,10yr_0060m_h215,31.407750,31.487652,0.079902
1,10yr_0060m_h218,31.423083,31.535569,0.112485
1,10yr_0060m_h219,31.453137,31.443064,-0.010074
1,10yr_0060m_h228,31.493977,31.751354,0.257377
1,10yr_0060m_h229,31.366487,31.521206,0.154719
