model,seed,episode,return_period_year,train_reward
GA-guided,1,151,30,151.357030
GA-guided,1,152,20,31.594213
GA-guided,1,153,100,156.067955
GA-guided,1,154,30,196.940486
GA-guided,1,155,10,30.797411
GA-guided,1,156,30,48.519773
GA-guided,1,157,100,80.485811
GA-guided,1,158,80,370.027831
GA-guided,1,159,80,372.821284
Regular,2,0,10,70.166915
Regular,2,1,100,27.630664
Regular,2,2,30,120.070630
Regular,2,3,30,98.876845
Regular,2,4,30,115.413356
Regular,2,5,50,28.596306
Regular,2,6,30,116.402328
Regular,2,7,80,119.023845
Regular,2,8,30,72.250221
Regular,2,9,50,101.452036
Regular,2,10,50,197.797057
Regular,2,11,50,61.154920
Regular,2,12,100,134.107833
Regular,2,13,50,105.648531
Regular,2,14,80,163.063137
Regular,2,15,30,107.764162
Regular,2,16,20,24.447628
Regular,2,17,20,74.679705
Regular,2,18,100,67.382046
Regular,2,19,50,127.172665
Regular,2,20,80,72.450069
Regular,2,21,80,58.516321
Regular,2,22,30,38.461306
Regular,2,23,20,27.629994
Regular,2,24,50,203.813377
Regular,2,25,80,88.922744
Regular,2,26,80,66.131063
Regular,2,27,20,26.595977
Regular,2,28,10,22.783245
Regular,2,29,50,225.054318
Regular,2,30,80,176.836674
Regular,2,31,20,97.135283
Regular,2,32,100,134.029612
Regular,2,33,50,129.905446
Regular,2,34,20,162.459357
Regular,2,35,30,52.903626
Regular,2,36,100,54.043624
Regular,2,37,20,59.797759
Regular,2,38,50,110.322502
Regular,2,39,30,60.995947
Regular,2,40,20,106.087780
Regular,2,41,80,87.256375
Regular,2,42,80,234.235449
Regular,2,43,80,46.622816
Regular,2,44,10,104.285032
Regular,2,45,20,73.418750
Regular,2,46,80,67.534940
Regular,2,47,80,196.361431
Regular,2,48,80,236.726027
Regular,2,49,10,38.191121
Regular,2,50,30,83.566404
Regular,2,51,100,198.924551
Regular,2,52,30,61.251906
Regular,2,53,80,69.037058
Regular,2,54,50,40.766452
Regular,2,55,50,40.892326
Regular,2,56,20,113.663784
Regular,2,57,30,62.733785
Regular,2,58,10,132.348971
Regular,2,59,100,148.164800
Regular,2,60,20,24.939191
Regular,2,61,50,68.490215
Regular,2,62,20,49.206909
Regular,2,63,30,244.989883
Regular,2,64,80,250.895514
Regular,2,65,20,197.336946
Regular,2,66,80,245.415523
Regular,2,67,20,198.481118
Regular,2,68,100,262.912570
Regular,2,69,30,120.261010
