model,seed,cum_reward
Regular,1,288.826200
Regular,1,51.493059
Regular,1,46.844681
Regular,1,66.818027
Regular,1,160.360078
Regular,1,115.680322
Regular,1,380.341636
Regular,1,34.343140
Regular,1,33.984374
Regular,1,50.325789
Regular,1,64.774576
Regular,1,46.644987
Regular,1,290.896304
Regular,1,290.018847
Regular,1,67.029161
Regular,1,48.085177
Regular,1,160.007468
Regular,1,377.522835
Regular,1,113.679575
Regular,1,112.939149
Regular,1,66.540051
Regular,1,294.871877
Regular,1,382.383612
Regular,1,77.964540
Regular,1,377.105222
Regular,1,203.270685
Regular,1,159.946438
Regular,1,158.160829
Regular,1,113.579355
Regular,1,33.115901
Regular,1,114.275441
Regular,1,378.538575
Regular,1,32.477434
Regular,1,112.451249
Regular,1,81.970625
Regular,1,156.540288
Regular,1,291.511967
Regular,1,204.004467
Regular,1,204.587716
Regular,1,204.659846
Regular,1,83.682315
Regular,1,51.982582
Regular,1,202.544566
Regular,1,201.309215
Regular,1,67.295138
Regular,1,293.502760
Regular,1,33.057908
Regular,1,198.928451
Regular,1,380.512634
Regular,1,46.705441
Regular,1,296.295115
Regular,1,295.911145
Regular,1,51.207895
Regular,1,51.227908
Regular,1,200.570949
Regular,1,31.981968
Regular,1,52.402110
Regular,1,48.722670
Regular,1,34.233677
Regular,1,291.922635
Regular,1,45.900879
Regular,1,382.214336
Regular,1,110.216560
Regular,1,159.540778
Regular,1,158.457362
Regular,1,381.279218
Regular,1,68.874160
Regular,1,377.375452
Regular,1,382.360622
Regular,1,62.658705
Regular,1,68.863548
Regular,1,294.667671
Regular,1,49.812323
Regular,1,114.337912
Regular,1,158.291794
Regular,1,200.405210
Regular,1,159.829436
Regular,1,381.650199
Regular,1,51.066838
Regular,1,157.397185
Regular,1,33.947188
Regular,1,203.328080
Regular,1,34.274607
Regular,1,77.480424
Regular,1,156.102386
Regular,1,158.296416
Regular,1,51.919237
Regular,1,156.791729
Regular,1,83.235620
Regular,1,376.737340
Regular,1,33.102642
Regular,1,50.491210
Regular,1,380.920572
Regular,1,62.368574
Regular,1,51.314938
Regular,1,64.081795
Regular,1,33.108239
Regular,1,47.616059
Regular,1,115.974595
Regular,1,205.282252
Regular,1,290.702948
Regular,1,111.931150
Regular,1,203.916203
Regular,1,50.102747
Regular,1,114.219131
Regular,1,156.097740
Regular,1,379.528442
Regular,1,32.100953
Regular,1,379.805341
Regular,1,204.334050
Regular,1,199.493856
Regular,1,51.999255
Regular,1,31.974034
Regular,1,32.349569
Regular,1,204.266256
Regular,1,51.124742
Regular,1,293.187825
Regular,1,292.623957
Regular,1,67.589431
Regular,1,52.026849
Regular,1,110.177664
Regular,1,30.831000
Regular,1,110.616393
Regular,1,203.760006
Regular,1,202.465897
Regular,1,63.144332
Regular,1,198.646559
Regular,1,116.460475
Regular,1,378.051465
Regular,1,110.073949
Regular,1,46.836522
Regular,1,84.539204
Regular,1,64.155876
Regular,1,64.204650
Regular,1,289.530802
Regular,1,84.546971
Regular,1,33.422086
Regular,1,199.674981
Regular,1,377.484536
Regular,1,200.788952
Regular,1,109.894009
Regular,1,50.927920
Regular,1,63.968094
Regular,1,34.391604
Regular,1,204.303034
Regular,1,51.949630
Regular,1,290.827974
Regular,1,158.013948
Regular,1,34.172693
Regular,1,295.115648
Regular,1,110.835642
Regular,1,377.160812
Regular,1,114.218784
Regular,1,68.136309
Regular,1,380.916581
Regular,1,82.145265
Regular,1,32.752849
Regular,1,47.146805
Regular,1,201.966159
Regular,1,84.217840
Regular,1,79.590633
Regular,1,378.792810
Regular,1,199.399828
Regular,1,204.451953
Regular,1,295.090560
Regular,1,378.428420
Regular,1,68.407196
Regular,1,62.516614
Regular,1,286.524445
Regular,1,48.979389
Regular,1,115.354097
Regular,1,68.234217
Regular,1,115.585108
