L,gamma_h,forecast,duration_min,n_scenarios,overflow_rate,mean_max_level_m,mean_act0_lock_rate
5,1.0,perfect,1440,30,0,7.2192,0.4621
5,1.0,persistence,0060,30,0,7.0577,0.3638
5,1.0,persistence,0120,30,0,7.1402,0.3708
5,1.0,persistence,0180,30,0,7.0945,0.3472
5,1.0,persistence,0240,30,0,7.1243,0.3351
5,1.0,persistence,0360,30,0,7.1677,0.3886
5,1.0,persistence,0540,30,0,7.1726,0.3473
5,1.0,persistence,0720,30,0,7.1809,0.3759
5,1.0,persistence,1080,30,0,7.2112,0.4266
5,1.0,persistence,1440,30,0,7.2189,0.4639
