state_id,scenario_id,L,method,impl,wall_s,n_obj_calls,first_action,best_total,rep,gap_vs_enum,first_action_match
50yr_0180m_h411_step39,50yr_0180m_h411,2,PSO,deployed,0.006429506000131369,720,5,1.5014784597958881,0,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,2,PSO,vectorized,0.0004201401025056839,660,5,1.5014784597958881,0,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,2,PSO,deployed,0.006948590977117419,780,5,1.5014784597958881,1,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,2,PSO,vectorized,0.0003777469974011183,660,5,1.5014784597958881,1,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,2,PSO,deployed,0.006377931917086244,720,5,1.5014784597958881,2,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,2,PSO,vectorized,0.000395169947296381,720,5,1.5014784597958881,2,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,3,ENUM,deployed,0.0068952119909226894,648,5,,,,
50yr_0180m_h411_step39,50yr_0180m_h411,3,ENUM,vectorized,0.00013512000441551208,648,5,2.249842417315984,,,
50yr_0180m_h411_step39,50yr_0180m_h411,3,GA,deployed,0.03364150086417794,3900,5,2.249842417315984,0,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,3,GA,vectorized,0.011120941955596209,3900,5,2.249842417315984,0,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,3,GA,deployed,0.028581860940903425,3300,5,2.249842417315984,1,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,3,GA,vectorized,0.010809295810759068,3900,5,2.249842417315984,1,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,3,GA,deployed,0.028565717162564397,3300,5,2.249842417315984,2,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,3,GA,vectorized,0.009077782975509763,3300,5,2.249842417315984,2,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,3,PSO,deployed,0.00971550983376801,1170,5,2.249842417315984,0,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,3,PSO,vectorized,0.0006224489770829678,1260,5,2.249842417315984,0,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,3,PSO,deployed,0.010112409945577383,1170,5,2.249842417315984,1,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,3,PSO,vectorized,0.0005023858975619078,1080,5,2.249842417315984,1,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,3,PSO,deployed,0.009807848138734698,1170,5,2.249842417315984,2,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,3,PSO,vectorized,0.0004969339352101088,1170,5,2.249842417315984,2,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,5,ENUM,deployed,0.3116638839710504,38880,5,,,,
50yr_0180m_h411_step39,50yr_0180m_h411,5,ENUM,vectorized,0.0019150369334965944,38880,5,3.741479252648211,,,
50yr_0180m_h411_step39,50yr_0180m_h411,5,GA,deployed,0.06152025004848838,7500,5,3.741479252648211,0,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,5,GA,vectorized,0.012430496979504824,7500,5,3.741479252648211,0,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,5,GA,deployed,0.05997053999453783,7500,5,3.741479252648211,1,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,5,GA,vectorized,0.012263505021110177,7500,5,3.741479252648211,1,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,5,GA,deployed,0.09652576479129493,11500,5,3.741479252648211,2,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,5,GA,vectorized,0.023165422957390547,13000,5,3.741479252648211,2,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,5,PSO,deployed,0.03031000797636807,3450,5,3.741479252648211,0,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,5,PSO,vectorized,0.0008506318554282188,1950,5,3.741479252648211,0,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,5,PSO,deployed,0.016936999978497624,1950,5,3.741479252648211,1,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,5,PSO,vectorized,0.0007973320316523314,1950,5,3.741479252648211,1,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,5,PSO,deployed,0.019606472924351692,2250,5,3.741479252648211,2,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,5,PSO,vectorized,0.0009582280181348324,2250,5,3.741479252648211,2,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,6,ENUM,deployed,2.2240952679421753,279936,5,,,,
50yr_0180m_h411_step39,50yr_0180m_h411,6,ENUM,vectorized,0.01415202091448009,279936,5,4.484491810430713,,,
50yr_0180m_h411_step39,50yr_0180m_h411,6,GA,deployed,0.08191560511477292,10200,5,4.484491810430713,0,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,6,GA,vectorized,0.012692529940977693,9000,5,4.484491810430713,0,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,6,GA,deployed,0.06652025086805224,8400,5,4.484491810430713,1,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,6,GA,vectorized,0.02903965301811695,19800,5,4.484491810430713,1,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,6,GA,deployed,0.05783493001945317,7200,5,4.358840751221633,2,0.12565105920907982,1
50yr_0180m_h411_step39,50yr_0180m_h411,6,GA,vectorized,0.012470129178836942,9000,5,4.484491810430713,2,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,6,PSO,deployed,0.02364502497948706,2880,5,4.484491810430713,0,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,6,PSO,vectorized,0.0010652539785951376,2880,5,4.484491810430713,0,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,6,PSO,deployed,0.04658168996684253,5400,5,4.484491810430713,1,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,6,PSO,vectorized,0.0010014139115810394,2520,5,4.484491810430713,1,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,6,PSO,deployed,0.022858467884361744,2700,5,4.484491810430713,2,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,6,PSO,vectorized,0.0009096609428524971,2520,5,4.484491810430713,2,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,7,ENUM,deployed,15.455049574142322,1959552,5,,,,
50yr_0180m_h411_step39,50yr_0180m_h411,7,ENUM,vectorized,0.1143927569501102,1959552,5,5.2253568999000635,,,
50yr_0180m_h411_step39,50yr_0180m_h411,7,GA,deployed,0.09653889806941152,11900,5,5.2253568999000635,0,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,7,GA,vectorized,0.032867063069716096,25900,5,5.1007877800443895,0,0.12456911985567398,1
50yr_0180m_h411_step39,50yr_0180m_h411,7,GA,deployed,0.10437158681452274,13300,5,5.2253568999000635,1,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,7,GA,vectorized,0.01790253189392388,14700,5,5.069231820734168,1,0.15612507916589546,1
50yr_0180m_h411_step39,50yr_0180m_h411,7,GA,deployed,0.11631471896544099,14700,5,5.121220860509767,2,0.10413603939029681,1
50yr_0180m_h411_step39,50yr_0180m_h411,7,GA,vectorized,0.013555137906223536,11200,5,5.069231820734168,2,0.15612507916589546,1
50yr_0180m_h411_step39,50yr_0180m_h411,7,PSO,deployed,0.02933022496290505,3570,5,5.2253568999000635,0,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,7,PSO,vectorized,0.0017235169652849436,4620,5,5.2253568999000635,0,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,7,PSO,deployed,0.029256420908495784,3360,5,5.2253568999000635,1,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,7,PSO,vectorized,0.0013433389831334352,3570,5,5.2253568999000635,1,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,7,PSO,deployed,0.03833471192047,4410,5,5.2253568999000635,2,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,7,PSO,vectorized,0.0012392299249768257,3360,5,5.2253568999000635,2,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,8,ENUM,deployed,105.62543820007704,13436928,5,,,,
50yr_0180m_h411_step39,50yr_0180m_h411,8,ENUM,vectorized,0.7935456121340394,13436928,5,5.963814493677761,,,
50yr_0180m_h411_step39,50yr_0180m_h411,8,GA,deployed,0.25002678809687495,32000,5,5.8242815060055815,0,0.1395329876721796,1
50yr_0180m_h411_step39,50yr_0180m_h411,8,GA,vectorized,0.019848444033414125,18400,5,5.963814493677761,0,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,8,GA,deployed,0.14949390897527337,19200,5,5.963814493677761,1,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,8,GA,vectorized,0.022591789020225406,20800,5,5.86031794533056,1,0.10349654834720123,1
50yr_0180m_h411_step39,50yr_0180m_h411,8,GA,deployed,0.23799524898640811,30400,5,5.86031794533056,2,0.10349654834720123,1
50yr_0180m_h411_step39,50yr_0180m_h411,8,GA,vectorized,0.01999000203795731,18400,5,5.81065970445656,2,0.15315478922120107,1
50yr_0180m_h411_step39,50yr_0180m_h411,8,PSO,deployed,0.045499047031626105,5520,5,5.963814493677761,0,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,8,PSO,vectorized,0.0015551131218671799,4560,5,5.963814493677761,0,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,8,PSO,deployed,0.035462199011817575,4320,5,5.963814493677761,1,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,8,PSO,vectorized,0.0023781610652804375,7440,5,5.963814493677761,1,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,8,PSO,deployed,0.033403665060177445,4080,5,5.963814493677761,2,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,8,PSO,vectorized,0.001253753900527954,3840,5,5.963814493677761,2,0.0,1
50yr_0180m_h411_step78,50yr_0180m_h411,1,ENUM,deployed,0.00014295498840510845,6,2,,,,
50yr_0180m_h411_step78,50yr_0180m_h411,1,ENUM,vectorized,9.236298501491547e-05,6,2,0.6582278455821249,,,
50yr_0180m_h411_step78,50yr_0180m_h411,1,GA,deployed,0.011724171927198768,1100,2,0.6582278455821249,0,0.0,1
50yr_0180m_h411_step78,50yr_0180m_h411,1,GA,vectorized,0.007887337123975158,1100,2,0.6582278455821249,0,0.0,1
50yr_0180m_h411_step78,50yr_0180m_h411,1,GA,deployed,0.010274389060214162,1100,2,0.6582278455821249,1,0.0,1
50yr_0180m_h411_step78,50yr_0180m_h411,1,GA,vectorized,0.007414230145514011,1100,2,0.6582278455821249,1,0.0,1
50yr_0180m_h411_step78,50yr_0180m_h411,1,GA,deployed,0.00997065007686615,1100,2,0.6582278455821249,2,0.0,1
50yr_0180m_h411_step78,50yr_0180m_h411,1,GA,vectorized,0.007587281987071037,1100,2,0.6582278455821249,2,0.0,1
50yr_0180m_h411_step78,50yr_0180m_h411,1,PSO,deployed,0.002848717849701643,330,2,0.6582278455821249,0,0.0,1
50yr_0180m_h411_step78,50yr_0180m_h411,1,PSO,vectorized,0.00029166997410357,330,2,0.6582278455821249,0,0.0,1
50yr_0180m_h411_step78,50yr_0180m_h411,1,PSO,deployed,0.0028416209388524294,330,2,0.6582278455821249,1,0.0,1
50yr_0180m_h411_step78,50yr_0180m_h411,1,PSO,vectorized,0.0002487960737198591,330,2,0.6582278455821249,1,0.0,1
50yr_0180m_h411_step78,50yr_0180m_h411,1,PSO,deployed,0.002823926042765379,330,2,0.6582278455821249,2,0.0,1
50yr_0180m_h411_step78,50yr_0180m_h411,1,PSO,vectorized,0.0002482698764652014,330,2,0.6582278455821249,2,0.0,1
